time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-05T22:53:57.000Z,61.2734,-146.8741,21.6,1.5,ml,,,,0.84,ak,ak11731730,2015-10-05T23:56:35.527Z,"32km WNW of Valdez, Alaska",earthquake
2015-10-05T22:36:48.530Z,34.147,-117.0498333,8.45,1.7,ml,70,40,0.05697,0.22,ci,ci37253511,2015-10-05T22:41:06.751Z,"9km SE of Running Springs, California",earthquake
2015-10-05T22:24:54.760Z,47.6003333,-122.3233333,25.72,1.98,ml,15,100,0.06678,0.2,uw,uw61088456,2015-10-05T22:37:48.398Z,"0km SE of Seattle, Washington",earthquake
2015-10-05T22:20:37.050Z,36.1838,-97.0375,4.89,2.2,ml,,68,0.266,0.45,us,us10003kk7,2015-10-05T22:40:26.005Z,"7km NNE of Stillwater, Oklahoma",earthquake
2015-10-05T22:17:08.000Z,60.2179,-152.7914,80,1.4,ml,,,,,ak,ak11731723,2015-10-05T23:12:53.314Z,"29km S of Redoubt Volcano, Alaska",earthquake
2015-10-05T21:58:16.100Z,-32.1444,-71.8718,10.43,4.1,mb,,148,0.898,1.06,us,us10003kjt,2015-10-05T22:20:02.391Z,"69km WNW of La Ligua, Chile",earthquake
2015-10-05T21:58:03.000Z,63.435,-150.2877,6.6,1.1,ml,,,,0.24,ak,ak11731603,2015-10-05T22:31:25.756Z,"66km W of Cantwell, Alaska",earthquake
2015-10-05T21:54:30.000Z,60.2298,-141.3439,0.1,1.3,ml,,,,0.73,ak,ak11731600,2015-10-05T22:31:24.649Z,"63km ENE of Cape Yakataga, Alaska",earthquake
2015-10-05T21:51:37.750Z,-32.1012,-71.8669,23.78,4.2,mb,,167,0.939,1.08,us,us10003kjd,2015-10-05T22:10:39.690Z,"71km WNW of La Ligua, Chile",earthquake
2015-10-05T21:49:25.549Z,39.9568,-117.8037,3,2,ml,7,132.78,0.651,0.109,nn,nn00513670,2015-10-05T22:12:37.438Z,"62km ESE of Lovelock, Nevada",earthquake
2015-10-05T21:46:50.370Z,19.326334,-155.1934967,3.86,1.96,md,53,91,0.05157,0.22,hv,hv61053711,2015-10-05T21:50:14.610Z,"12km SSE of Volcano, Hawaii",earthquake
2015-10-05T21:44:51.257Z,39.9617,-117.8182,2.3,1.9,ml,8,133.97,0.655,0.079,nn,nn00513669,2015-10-05T22:09:23.878Z,"60km ESE of Lovelock, Nevada",earthquake
2015-10-05T21:43:13.440Z,37.6676667,-118.817,5.69,1.15,md,23,55,0.01099,0.04,nc,nc72535821,2015-10-05T22:31:21.000Z,"13km E of Mammoth Lakes, California",earthquake
2015-10-05T21:39:02.000Z,60.1828,-141.31,0.1,1.1,ml,,,,1.23,ak,ak11731598,2015-10-05T22:32:17.239Z,"63km ENE of Cape Yakataga, Alaska",earthquake
2015-10-05T21:36:50.880Z,33.0388333,-117.647,-0.29,2.12,ml,27,213,0.3689,0.42,ci,ci37253495,2015-10-05T23:49:43.693Z,"31km WSW of Carlsbad, California",earthquake
2015-10-05T21:23:11.580Z,34.4503333,-117.8898333,10.1,1.23,ml,25,45,0.03758,0.11,ci,ci37253471,2015-10-05T23:44:10.336Z,"6km SSE of Pearblossum, California",earthquake
2015-10-05T21:19:54.255Z,41.8602,-119.6389,8.4,2.5,ml,4,202.63,0.15,0.12,nn,nn00513663,2015-10-05T21:51:29.487Z,"68km ESE of Lakeview, Oregon",earthquake
2015-10-05T21:18:25.901Z,41.8643,-119.6402,9.9,2.7,ml,6,230.9,0.146,0.1528,nn,nn00513662,2015-10-05T21:57:24.490Z,"68km ESE of Lakeview, Oregon",earthquake
2015-10-05T21:15:58.300Z,17.919,-67.1305,14,2.6,Md,9,248.4,0.0880349,0.28,pr,pr15278003,2015-10-05T21:35:58.119Z,"8km SE of Pole Ojea, Puerto Rico",earthquake
2015-10-05T21:09:02.080Z,33.484,-116.4233333,8.15,0.93,ml,31,117,0.03935,0.11,ci,ci37253463,2015-10-05T23:39:48.050Z,"22km SSW of La Quinta, California",earthquake
2015-10-05T21:08:31.000Z,61.1499,-146.9749,0.2,1.5,ml,,,,1.06,ak,ak11731594,2015-10-05T21:50:30.632Z,"33km W of Valdez, Alaska",earthquake
2015-10-05T20:56:53.090Z,33.6775,-116.691,15.43,0.76,ml,29,64,0.01671,0.1,ci,ci37253447,2015-10-05T23:34:57.431Z,"7km SSE of Idyllwild, California",earthquake
2015-10-05T20:54:03.920Z,34.936,-118.846,1.78,0.97,ml,10,103,0.07776,0.12,ci,ci37253455,2015-10-05T21:04:15.538Z,"8km E of Grapevine, California",earthquake
2015-10-05T20:47:49.000Z,64.9544,-149.0224,18.3,0.5,ml,15,125.999989920001,0.09611974,0.42,ak,ak11731488,2015-10-05T22:32:19.965Z,"42km N of North Nenana, Alaska",earthquake
2015-10-05T20:43:38.590Z,46.1933333,-111.9601667,5.99,1.86,ml,13,85,0.36,0.11,mb,mb80100519,2015-10-05T21:34:08.010Z,"13km ESE of Boulder, Montana",earthquake
2015-10-05T20:37:49.450Z,39.3803333,-122.8945,6.97,2.62,md,40,34,0.1184,0.06,nc,nc72535796,2015-10-06T00:06:05.042Z,"23km N of Upper Lake, California",earthquake
